Pitot Pressure NPR3.5			Pitot Pressure NPR3.5			Static Pressure NPR3.5 Redigitized 			Static Pressure NPR 3.5	
x	LES_correct		x	PROBE_Correct		x	Liu_LES			
0.0428	3.2067		0.5493	2.7309		0	0.75638		X/D	P/Pinf
0.1355	3.1383		0.9203	3.0422		0.1273	0.69327		0.076660185	0.708123727
0.1997	3.0926		1.2985	3.0332		0.3201	0.65615		0.317661868	0.657194563
0.2639	3.047		1.6124	2.7176		0.3404	1.0483		0.319636632	0.766380005
0.3422	3.0106		1.962	3.1478		0.3412	1.06082		0.335669192	1.113184176
0.3992	2.9786		2.3472	3.2669		0.3419	1.06821		0.337681647	0.891814103
0.4491	2.9422		2.6897	2.901		0.3617	1.14617		0.338419547	0.810645076
0.5344	2.9422		3.0178	2.9881		0.3624	1.1532		0.34055275	0.998069949
0.5844	2.8783		3.3817	3.2856		0.3727	1.36891		0.344859404	1.157453719
0.6059	2.8509		3.7455	3.2354		0.3835	1.55452		0.353110206	1.557877338
0.6116	3.1886		4.0809	2.8924		0.4215	1.46172		0.353803649	1.228779604
0.6197	2.9513		4.4233	3.2174		0.4404	1.39118		0.43363048	1.311448357
0.6264	3.0609		4.7943	3.341		0.4785	1.3058		0.641455663	1.24284443
0.6393	3.3666		5.151	3.117		0.5652	1.2761		0.824427481	1.164609115
0.6397	3.3697		5.4649	3.1125		0.7483	1.21299		0.969051138	1.083900078
0.6462	3.4351		5.8288	3.3186		0.9023	1.13503		1.075363876	0.996620534
0.6816	3.4716		6.2069	3.2226		1.0562	1.04594		1.143443559	0.89420557
0.7387	3.3986		6.5208	3.0397		1.123	0.91972		1.211629455	0.780107186
0.8313	3.3667		6.8633	3.1954		1.2284	0.77865		1.379942276	0.606349677
0.9237	3.3667		7.2342	3.0629		1.305	0.67471		1.480890372	0.706806859
1.1229	3.3394		7.5624	2.8114		1.3239	0.61531		1.493448092	0.80272763
1.2153	3.3258		7.9049	2.9579		1.4496	0.6413		1.536439726	0.927535183
1.3648	3.2756		8.2616	2.8025		1.4791	0.82832		1.63136612	1.037560581
1.4149	3.1935		8.5969	2.6928		1.4797	0.83063		1.774477774	1.123171917
1.4864	3.1068		8.9465	2.5465		1.5285	0.92343		1.965645095	1.19862408
1.5082	2.9928		9.2961	2.6016		1.6063	1.01253		2.157343651	1.215640507
1.5726	2.8741		9.6243	2.3501		1.7033	1.08677		2.26957157	1.110806796
1.6439	2.8194		9.9738	2.277		1.8774	1.14988		2.32029215	1.01854601
1.7221	2.824		10.3234	2.332		2.0033	1.20557		2.363345275	0.925550902
1.7564	3.1206					2.2061	1.22413		2.426235619	0.831193734
1.7573	3.1194					2.2732	1.14246		2.586152092	0.723269859
1.764	3.0157					2.3208	1.02738		2.746109785	0.818131409
1.7987	3.2165					2.3877	0.92715		2.86039488	0.90908544
1.8767	3.2758					2.4643	0.8232		2.965069384	1.002011678
2.04	3.3261					2.5122	0.74896		3.060245099	1.084611784
2.2459	3.3809					2.5988	0.71183		3.155387274	1.170901392
