"Liu Measurement SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR (X = 2.2D, Y = 1D)"			"Liu LES SPL-3.5NPR w/wallfunc (X = 5D, Y = 2.3D)"			"Liu Experiment SPL-3.5NPR (X = 5D, Y = 2.3D)"			"Liu LES SPL-3.5NPR w/slipwall (X = 5D, Y = 2.3D)"	
101.93	108.085		103.74	118.771		0.010182879	105.4859352		0.010637565	110.7957483		0.010748616	106.477986
110.73	108.343		112.07	118.774		0.010841812	105.2250972		0.011405564	110.6553397		0.011526061	106.7692857
122.62	108.092		113.82	118.302		0.011525129	105.470636		0.012228611	110.4013237		0.012359738	107.0605853
134.92	108.35		122.95	118.305		0.012151362	105.6406243		0.013111992	110.397244		0.013253888	107.3973279
150.36	107.846		132.83	118.308		0.012949945	105.8001437		0.014059187	110.3931644		0.014212446	107.6659061
165.44	108.357		134.89	117.836		0.013820887	105.9338057		0.015073627	110.1164269		0.015240429	107.9572058
182.03	108.615		145.72	117.839		0.014572766	106.3754731		0.016162528	110.1123472		0.01634266	108.2257839
200.29	108.618		157.42	117.842		0.015503766	107.027184		0.017330091	110.1082675		0.017524721	108.5170836
220.38	109.384		162.36	117.371		0.016523509	107.6147897		0.018582845	110.2632383		0.018791912	108.7402188
240.95	109.642		172.71	118.317		0.01754938	108.0679231		0.019926938	110.5545379		0.020150075	108.8497465
266.81	110.408		186.6	119.737		0.018558897	108.672571		0.021368249	110.8458375		0.02160668	109.0047172
291.71	110.919		198.51	121.156		0.019656451	109.2014237		0.02291366	111.1144157		0.023167673	109.0233591
323.02	111.177		211.17	122.103		0.020865868	109.6428502		0.024571161	111.4284368		0.02484452	109.4737091
350.92	111.689		224.64	123.05		0.022244099	110.2888467		0.026348387	111.7197365		0.026644647	110.1739955
391.07	111.947		238.95	122.58		0.023589943	110.7010274		0.028254345	112.0337576		0.02857334	110.647067
430.29	112.713		258.14	122.583		0.025053086	110.5100865		0.030298766	112.4159432		0.030637245	110.6202659
473.45	113.478		266.23	122.112		0.026605741	110.4748094		0.032490481	112.7299644		0.032849587	110.5253003
520.94	114.244		287.6	122.114		0.028253059	110.6243831		0.034841419	113.1121499		0.03522697	110.9529288
569.55	115.264		305.91	120.7		0.029993382	111.7760428		0.037361248	113.3807281		0.037777393	111.4714433
634.72	115.522		330.45	119.758		0.031842574	112.7525806		0.040063056	113.6265848		0.040501104	111.012934
689.5	116.288		335.6	119.759		0.033507949	112.2066634		0.042960528	113.8951629		0.043359344	110.6510759
758.7	117.562		357.01	121.178		0.034605997	110.8847536		0.046067853	114.1864626		0.046847316	111.8905726
834.8	118.582		379.8	122.597		0.036388189	109.7295803		0.049399609	114.4550408		0.049749477	113.0069204
930.3	119.602		410.32	123.544		0.038448435	109.6798457		0.052972672	114.7463404		0.05357808	113.836801
979	122.399		436.5	124.491		0.040939226	110.1214576		0.056804174	115.0376401		0.057448124	113.8099999
1017.1	123.417		450.2	124.965		0.043556964	110.5980466		0.060912807	115.3289397		0.061598511	113.8286417
1063.5	121.894		478.86	123.55		0.046155272	111.1794662		0.06531606	115.4839104		0.066235469	113.5574146
1155.4	119.864		501.51	121.663		0.049001895	112.0879011		0.070036245	115.5707167		0.067578019	114.9740972
1263.2	120.376		509.29	120.719		0.05201803	113.3854956		0.075102441	115.8847378		0.070462893	116.4792362
1372.3	120.633		533.5	122.609		0.055221258	114.5955292		0.080535635	116.2214805		0.070833432	114.5021269
1510	123.178		550.3	124.5		0.058356453	114.2194343		0.086363576	116.6263875		0.075951348	114.5434902
1558.9	126.228		576.49	126.863		0.061459909	114.066904		0.092611443	116.9631302		0.0814518	115.1301692
1599.1	128.516		613.19	125.92		0.064871365	114.5149357		0.099311952	117.3225943		0.0873449	115.4896333
1661.4	132.329		652.2	124.034		0.069187146	114.5313432		0.106500027	117.7729443		0.093457668	114.9024822
1715.2	135.888		672.6	122.146		0.073479266	114.3014863		0.114217306	118.4959522		0.100415116	115.3087907
1748.3	138.684		683	121.674		0.077669918	114.6365196		0.122481016	118.8554163		0.101069009	116.9707554
1804.9	139.956		715.5	123.093		0.082450117	114.4310461		0.131340898	119.1694374		0.10746416	118.7949012
1863.4	136.908		749.5	125.456		0.084129464	114.0178041		0.140839837	119.4380156		0.107715777	116.817962
1887.3	128.522		797.2	124.041		0.0878909	115.182114		0.151027737	119.7520367		0.115270477	116.7231097
1899.3	131.318		848	122.626		0.092539933	113.7025091		0.161952597	120.0660579		0.118734414	118.0387745
1998.7	126.745		874.6	122.155		0.093007217	115.1356547		0.17366546	120.334636		0.123866267	117.5368902
2076.6	131.829		930.3	122.63		0.095270661	116.973269		0.186223	120.5577712		0.12723367	118.8428114
2185.2	132.848		959.5	121.686		0.09666947	118.4919011		0.199663812	120.3491982		0.132828953	117.9190758
2284.8	130.308		1020.7	122.633		0.099196564	115.96388		0.214071933	120.0951822		0.136830643	120.0759171
2358.8	128.022		1052.7	123.579		0.101181791	116.7142252		0.229558704	120.4319248		0.14230761	117.9507499
2546.3	126.754		1085.9	124.997		0.106500197	116.2911885		0.246159423	120.6777815		0.147894515	116.4661661
2766.2	126.249		1155	123.582		0.111568665	117.5536053		0.263929643	120.5146514		0.154297781	115.6305518
3063.1	126.507		1191.1	122.167		0.117754932	118.1642076		0.282563955	120.7151578		0.155590523	119.6391238
3264.7	124.476		1267.1	123.114		0.121697914	119.2063374		0.287300859	122.4864911		0.158799284	118.1001434
3638.2	124.735		1307	125.476		0.123259907	116.7670346		0.290059564	125.8942122		0.159180866	119.0990688
4028.7	122.959		1348.2	126.894		0.125418156	115.6823104		0.290810944	124.2921692		0.165597492	116.6053518
4212.5	124.486		1412	125.951		0.130985644	117.1222615		0.291878305	126.9299638		0.16766219	119.9041134
4489.7	122.963		1479.1	127.37		0.136346259	117.765517		0.293434992	129.0155201		0.170563299	118.2907222
4940	122.713		1549.4	128.788		0.139037456	116.5458288		0.293844224	130.8013773		0.171046879	121.4034525
5332.6	122.207		1607	130.295		0.144822612	114.6848453		0.29483667	131.5646349		0.176811189	116.3410293
5756.4	120.177		1682	133.854		0.147689352	116.9122417		0.297534007	133.8371152		0.178621308	120.4391305
6174.3	119.418		1749.2	138.938		0.149689601	113.8094521		0.300413908	136.897807		0.181841582	118.6107637
6665	118.15		1772.6	145.038		0.150505848	119.0790974		0.303627297	139.4168282		0.188051162	119.6280405
7287	118.915		1838.4	147.213		0.150766519	123.3444684		0.310668301	141.2906704		0.19451968	118.514798
